ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L1e,Derbi,SENDA SM
L1,Yamaha,BW'S-SA051/49
L3e,KTM,125 EXC
L1e,Aprilia,MX50-STD00/50
L3e,Harley-Davidson,XL883 SPORTSTER-CAM/883
L3,Kawasaki,ZX
L1,Kymco,SUPER FEVER ZX-SC10AS/49
L3e,Buell,BUELL LIGHTNING
L3e,BMW,R 1200 RT
L3,Honda,CB1300-SC54A/1284
L3e,BMW,K 1200 GT
L3,BMW,R 1150 GS-0415A/1130
L1e,Kymco,AGILITY50
L3,Yamaha,XVS1100 DRAG STAR
L1e,Kinroad,XT50PY-5
L3e,Kymco,XCITING
L1e,Peugeot,SPEEDFIGHT
L1e,Kinroad,XT50QT-10
L3,Honda,VFR800FI-RC46C/782
L1,Peugeot,SPEEDFIGHT2-S1B0KB/49
L3,Honda,CB600F HORNET S-PC34E/600
L1e,Sanli,SOLIFER XTR50
L3,BMW,R 100 GS
L3e,Triumph,ROCKET III
L3,Kawasaki,ER-5
L3,Kawasaki,VN800
L3,Kawasaki,NINJA ZX-6R-ZX636B/636
L3e,Harley-Davidson,XL883C SPORTSTER CUSTOM
L3,Honda,CBR1100XX-SC35A/1137
L3,Kawasaki,KLE 500-LE500A/499
L1,Jincheng,JC50Q-7/49
L3,Husqvarna,TE 250-H800AA/249
L1e,Kinroad,WINDBELL
L3,Honda,CB500S-PC32E/499
L3,Yamaha,VMX1200-VP03/1198
L3e,Suzuki,BANDIT 1200S
L3e,Honda,CBR125R
L1,Tunturi,City
L1,Suzuki,TS50XK-A21111/50
L1e,SKYTEAM,MONKEY 50
L3,Harley-Davidson,FXWG
L3e,Honda,CBR1000RR-SC57A/998
L3,KTM,250 EXC-GSA2/249
L3,Yamaha,FZS1000-RN066/998
L3e,BMW,K 1200 S
L3e,BMW,F 800 S
L3e,BMW,R 1200 GS-0307A/1170
L3e,Yamaha,YZF-R6
L1,Derbi,SENDA R-SENDAH/49
